	Correct_Ranking_Position	Patch_Type	Bug	Buggy_Path	by_SelfAPR	Ground_truth 
	1	IDENTICAL	Chart_1	source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	[REPLACE] if ( dataset == null ) {	if (dataset == null) {	
	5	IDENTICAL	Chart_11	source/org/jfree/chart/util/ShapeUtilities.java	PathIterator iterator2 = p2. getPathIterator ( null ) ;	PathIterator iterator2 = p2.getPathIterator(null);	
	1	IDENTICAL	Chart_20	source/org/jfree/chart/plot/ValueMarker.java	super ( paint, stroke, outlinePaint, outlineStroke, alpha ) ;	super(paint, stroke, outlinePaint, outlineStroke, alpha);	
	2	IDENTICAL	Chart_7	source/org/jfree/data/time/TimePeriodValues.java	long s = getDataItem ( this. maxMiddleIndex ). getPeriod ( ). getStart ( ). getTime ( ) ;	long s = getDataItem(this.maxMiddleIndex).getPeriod().getStart(). getTime ( ) ;	
	4	IDENTICAL	Cli_18	src/java/org/apache/commons/cli/PosixParser.java	tokens. add ( token ) ;	tokens.add(token);	
	1	IDENTICAL  	JacksonCore_5	src/main/java/com/fasterxml/jackson/core/JsonPointer.java	char  c  =  str.  charAt  (  i  )  ;	char  c  =  str.charAt(i);
	54	IDENTICAL	Chart_8	source/org/jfree/data/time/Week.java	this ( time, zone, Locale. getDefault ( ) ) ;	this(time, zone, Locale.getDefault());	
	25	IDENTICAL	Time_4	src/main/java/org/joda/time/Partial.java	Vartial newPartial = new Partial ( newTypes, newValues, iChronology ) ;	Partial newPartial = new Partial(newTypes, newValues, iChronology);	
	8	IDENTICAL	Closure_113	src/com/google/javascript/jscomp/ProcessClosurePrimitives.java	if ( provided!= null 		 requiresLevel. isOn ( ) ) {	if (provided!= null 		 requiresLevel.isOn()) {	
	1	IDENTICAL	Cli_5	src/java/org/apache/commons/cli/Util.java	[ADD] if ( str == null ) { return null; }	if (str == null) { return null; }	
	12	IDENTICAL	JacksonDatabind_76	src/main/java/com/fasterxml/jackson/databind/deser/BuilderBasedDeserializer.java	[REPLACE]  buffer.  bufferProperty  (  creatorProp,  creatorProp.  deserialize  (  p,  ctxt  )  )  ;	buffer.assignParameter(creatorProp,  creatorProp.deserialize(p,  ctxt));	
	7	IDENTICAL	JacksonDatabind_57	src/main/java/com/fasterxml/jackson/databind/ObjectReader.java	[REPLACE]  return  _bindAndReadValues  (  _considerFilter  (  _parserFactory.  createParser  (  src  ,  offset,  length  )   ,	return  _bindAndReadValues(_considerFilter(_parserFactory.createParser(src,  offset,  length),	
	1	IDENTICAL	Closure_13	src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java	traverse ( c ) ;	traverse(c);	
	1	IDENTICAL	Closure_18	src/com/google/javascript/jscomp/Compiler.java	if ( options. dependencyOptions. needsManagement ( ) ) {	if (options.dependencyOptions.needsManagement()) {	
	2	IDENTICAL	Closure_30	src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java	[REPLACE] ( new NodeTraversal ( compiler, this ) ). traverseRoots ( externs, root ) ;	(new NodeTraversal(compiler, this)).traverseRoots(externs, root);	
	69	IDENTICAL	Closure_40	src/com/google/javascript/jscomp/NameAnalyzer.java	[REPLACE] JsName name = getName ( ns. name, true ) ;	JsName name = getName(ns.name, true);	
	13	IDENTICAL	Closure_57	src/com/google/javascript/jscomp/ClosureCodingConvention.java	if ( target!= null && target. getType ( ) == Token. STRING ) {	if (target!= null && target.getType() == Token.STRING) {	
	3	IDENTICAL	Closure_6	src/com/google/javascript/jscomp/TypeValidator.java	[REMOVE]	nan	
	1	IDENTICAL	Closure_62	src/com/google/javascript/jscomp/LightweightMessageFormatter.java	[REPLACE] && 0 < = charno && charno < = sourceExcerpt. length ( ) ) {	&& 0 < = charno && charno < = sourceExcerpt.length()) {	
	2	IDENTICAL	Closure_70	src/com/google/javascript/jscomp/TypedScopeCreator.java	jsDocParameter. getJSType ( ), false ) ;	jsDocParameter.getJSType(), false);	
	7	IDENTICAL	Closure_73	src/com/google/javascript/jscomp/CodeGenerator.java	vâr if ( c > 0x1f && c < 0x7f ) {	if (c > 0x1f && c < 0x7f) {	
	1	IDENTICAL	Closure_86	src/com/google/javascript/jscomp/NodeUtil.java	[REPLACE] return false;	return false;	
	91	IDENTICAL	Closure_92	src/com/google/javascript/jscomp/ProcessClosurePrimitives.java	int indexOfDot = namespace. lastIndexOf ( '.') ;	int indexOfDot = namespace. lastIndexOf ( '.') ;	
	4	IDENTICAL	Codec_17	src/main/java/org/apache/commons/codec/binary/StringUtils.java	[REPLACE] return new String (bytes, Charsets. ISO_8859_1 ) ;	return newString(bytes, Charsets.ISO_8859_1);	
	1	IDENTICAL	Codec_7	src/java/org/apache/commons/codec/binary/Base64.java	[REPLACE] return StringUtils. newStringUtf8 ( encodeBase64 ( binaryData, false ) ) ;	return StringUtils.newStringUtf8(encodeBase64(binaryData, false));	
	6	IDENTICAL	Collections_26	src/main/java/org/apache/commons/collections4/keyvalue/MultiKey.java	protected Object readResolve ( ) {	protected Object readResolve() {	
	60	IDENTICAL	Compress_19	src/main/java/org/apache/commons/compress/archivers/zip/Zip64ExtendedInformationExtraField.java	[REPLACE] if ( rawCentralDirectoryData. length < expectedLength ) {	if (rawCentralDirectoryData.length < expectedLength) {	
	3	IDENTICAL	Compress_24	src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java	[ADD]	nan	
	26	IDENTICAL	Compress_30	src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java	if ( len == 0 ) { return 0; }	if (len == 0) { return 0; }	
	4	IDENTICAL	Compress_31	src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java	[ADD]	nan	
